id,modelo_id,ano,nome_versao,cilindrada_cc,combustivel_id,cambio_id,potencia_cv,torque_nm,consumo_cidade_kml,consumo_estrada_kml,preco_brl
90,41,2013,A200 Turbo,1595,2,2,156,250,11.5,14.5,95000
91,41,2019,A200 AMG Line,1332,2,2,163,250,12.5,16.0,250000
92,42,2012,C200 CGI,1796,2,2,184,270,10.0,13.0,110000
93,42,2022,C300 AMG Line,1999,2,2,258,400,11.0,14.5,380000
94,43,2015,GLA200 Turbo,1595,2,2,156,250,11.5,14.5,140000
95,43,2022,GLA250 AMG,1991,2,2,224,350,12.0,15.5,340000
96,44,2014,2.2 CDI,2143,3,1,163,360,9.0,12.0,160000
97,44,2023,2.2 CDI eDrive,2143,3,2,177,440,9.5,13.0,400000
98,45,2012,1.4 TFSI S-Tronic,1390,2,2,125,200,13.0,16.0,85000
99,45,2022,1.4 TFSI Prestige,1390,1,2,150,250,13.5,17.0,250000
100,46,2013,1.4 TFSI,1390,2,2,125,200,12.5,15.5,115000
101,46,2022,1.4 TFSI Black,1390,1,2,150,250,13.5,16.5,290000
102,47,2012,2.0 TFSI Ambition,1984,2,2,211,350,10.0,13.5,130000
103,47,2022,2.0 TFSI S-Line,1984,2,2,204,320,10.5,14.0,380000
104,48,2013,2.0 TFSI Quattro,1984,2,2,211,350,10.0,13.0,165000
105,48,2023,2.0 TFSI Quattro SLine,1984,2,2,265,400,10.5,13.5,480000
106,49,2013,1.6 Allure,1598,1,2,120,160,12.0,15.0,42000
107,49,2020,1.6 Griffe,1598,1,2,120,160,12.5,16.0,90000
108,49,2022,1.2 PureTech Allure,1199,1,2,130,230,14.0,17.5,120000
109,50,2015,1.6 Griffe,1598,1,2,120,160,12.0,15.0,65000
110,50,2023,1.2 PureTech Allure,1199,1,2,130,230,14.0,18.0,155000
111,51,2017,1.6 THP Allure,1598,2,2,165,240,11.0,14.0,120000
112,51,2023,1.6 THP Griffe,1598,2,2,165,240,11.5,14.5,280000
113,52,2017,1.0 Zen,999,1,1,66,91,15.5,18.5,40000
114,52,2023,1.0 Outsider,999,1,1,66,91,15.0,18.0,65000
115,53,2012,1.0 Expression,999,1,1,75,98,13.0,16.0,28000
116,53,2021,1.0 Life TCe,999,1,1,100,160,14.5,18.0,80000
117,54,2012,1.6 Tech Road,1598,1,1,113,155,11.5,14.5,42000
118,54,2021,1.3 TCe Iconic,1330,1,3,155,270,13.0,16.5,120000
119,55,2013,1.5 Attraction,1497,1,2,115,145,12.0,15.0,38000
120,55,2022,1.0 You,999,1,1,75,91,13.5,17.0,80000
121,56,2016,1.6 VTI Shine,1598,1,2,120,156,12.5,15.5,70000
122,57,2022,1.0 Feel,999,1,1,75,91,14.0,17.5,95000
123,58,2015,1.8 Sport,1796,1,2,139,177,10.5,13.5,70000
124,58,2020,1.3 T270 Limited,1332,1,2,185,270,12.0,15.5,140000
125,58,2023,1.3 T270 Trailhawk,1332,1,2,185,270,11.5,15.0,175000
126,59,2017,2.0 Longitude Flex,1995,1,2,166,225,10.5,13.5,110000
127,59,2022,1.3 T270 S,1332,1,2,185,270,12.0,15.5,215000
128,60,2021,1.3 T270 Limited,1332,1,2,185,270,11.5,15.0,215000
129,60,2023,2.0 T280 Diesel,1956,3,2,200,440,10.5,14.0,395000
130,61,2012,5.7 Hemi,5654,2,2,396,542,7.0,10.0,180000
131,61,2022,5.7 Hemi Classic,5654,2,2,401,556,7.5,10.5,550000
132,62,2015,2.8 CD Diesel,2776,3,1,178,440,9.5,13.0,105000
133,63,2016,6.7 Laramie Diesel,6690,3,2,385,1152,6.0,9.0,400000
134,64,2012,5.7 RT,5654,2,2,375,528,7.0,10.5,180000
135,65,2016,6.4 Scat Pack,6424,2,2,485,644,7.0,10.0,300000
136,66,2021,1.5T HEV,1499,4,2,243,530,16.0,20.0,185000
137,66,2023,1.5T DCT,1499,2,4,169,285,13.0,16.5,195000
138,67,2023,Elétrico,0,5,2,171,250,,,185000
139,68,2023,Elétrico,0,5,2,517,700,,,350000
140,69,2023,Elétrico,0,5,2,517,700,,,480000
141,70,2023,Elétrico,0,5,2,204,310,,,150000
142,71,2017,1.5 Activ,1497,1,1,115,143,12.0,15.5,50000
143,72,2019,1.5 TXS,1497,2,2,147,210,11.5,14.5,95000
144,73,2022,1.5 Turbo Max,1499,2,2,150,230,12.0,15.0,155000
145,74,2015,1.5 T,1497,2,1,117,145,11.5,14.5,40000
146,75,2022,Elétrico,0,5,2,82,155,,,100000
